VesselID	Capacity	OperatingCost	Route	maxNum
1	1728	9.9293	1	1
2	1872	9.9412	1	1
3	2016	9.9238	1	1
4	2160	9.9343	1	1
5	2304	9.9628	1	1
6	2448	9.9289	1	1
7	2592	9.9444	1	1
8	2736	9.962	1	1
9	2880	9.9651	1	1
10	3024	9.933	1	1
11	3168	9.9415	1	1
12	3312	9.9582	1	1
13	3456	9.9571	1	1
14	3600	9.9483	1	1
15	3744	9.9442	1	1
16	3888	9.9698	1	1
17	4032	9.9201	1	1
18	4176	9.9291	1	1
19	4320	9.9632	1	1
20	4464	9.9293	1	1
21	4608	9.9308	1	1
22	4752	9.9497	1	1
23	4896	9.9398	1	1
24	5040	9.9445	1	1
25	5184	9.9592	1	1
26	5328	9.9699	1	1
27	5472	9.9491	1	1
28	5616	9.9329	1	1
29	5760	9.9309	1	1
30	5904	9.94	1	1
31	6048	9.9632	1	1
32	6192	9.924	1	1
33	6336	9.9458	1	1
34	6480	9.9523	1	1
35	6624	9.9575	1	1
36	6768	9.9515	1	1
37	6912	9.9329	1	1
38	7056	9.9549	1	1
39	7200	9.9523	1	1
40	7344	9.9363	1	1
41	7488	9.9607	1	1
42	7632	9.9244	1	1
43	7776	9.9644	1	1
44	7920	9.9566	1	1
45	8064	9.9611	1	1
46	8208	9.9407	1	1
47	8352	9.9621	1	1
48	8496	9.9244	1	1
49	8640	9.9697	1	1
50	8784	9.9218	1	1
51	8928	9.9519	1	1
52	9072	9.92	1	1
53	9216	9.94	1	1
54	9360	9.9407	1	1
55	9504	9.9522	1	1
56	9648	9.9213	1	1
57	9792	9.9374	1	1
58	9936	9.9689	1	1
59	10080	9.9664	1	1
60	10224	9.949	1	1
61	10368	9.9454	1	1
62	10512	9.9469	1	1
63	10656	9.9572	1	1
64	10800	9.9396	1	1
65	10944	9.9455	1	1
66	11088	9.9397	1	1
67	11232	9.9418	1	1
68	11376	9.9226	1	1
69	11520	9.9238	1	1
70	11664	9.9615	1	1
71	11808	9.9333	1	1
72	11952	9.9267	1	1
73	12096	9.9568	1	1
74	12240	9.9245	1	1
75	12384	9.9672	1	1
76	12528	9.946	1	1
77	12672	9.9543	1	1
78	12816	9.933	1	1
79	12960	9.9351	1	1
80	13104	9.9336	1	1
81	13248	9.9325	1	1
82	13392	9.9551	1	1
83	13536	9.9601	1	1
84	13680	9.9509	1	1
85	13824	9.9383	1	1
86	13968	9.9489	1	1
87	14112	9.9387	1	1
88	14256	9.9313	1	1
89	14400	9.958	1	1
90	14544	9.9586	1	1
91	14688	9.9236	1	1
92	14832	9.9649	1	1
93	14976	9.9365	1	1
94	15120	9.9519	1	1
95	15264	9.9414	1	1
96	15408	9.929	1	1
97	15552	9.9387	1	1
98	15696	9.9461	1	1
99	15840	9.9241	1	1
100	15984	9.9632	1	1
